tweet_type,time_posted,content,associated_tweet_id,comments,retweets,likes,views,extraction_date,tweet_id,content_cleaned,content_removed_gare,content_removed_sw,content_cleand_str,word_counts,bigram_counts,trigram_counts,is_problem,date,engagement,label
Réponse,2024-08-03 03:28:27, Le trafic est perturbé de Boissy-saint-Léger vers Saint-Germain-en-Laye en raison d'un rallongement de durée de chantier à Boissy-Saint-Léger. #RERA,,1,0,0,5177,2024-08-04 11:31:01.965463,f8217e67-aa5b-4074-8064-b42c830a18cd, le trafic est perturbe de boissy saint leger vers saint germain en laye en raison d un rallongement de duree de chantier a boissy saint leger rera, le trafic est perturbe de  vers  en raison d un rallongement de duree de chantier a  rera,"['trafic', 'perturbe', 'raison', 'rallongement', 'duree', 'chantier']",trafic perturbe raison rallongement duree chantier,"Counter({'trafic': 1, 'perturbe': 1, 'raison': 1, 'rallongement': 1, 'duree': 1, 'chantier': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'raison'): 1, ('raison', 'rallongement'): 1, ('rallongement', 'duree'): 1, ('duree', 'chantier'): 1})","Counter({('trafic', 'perturbe', 'raison'): 1, ('perturbe', 'raison', 'rallongement'): 1, ('raison', 'rallongement', 'duree'): 1, ('rallongement', 'duree', 'chantier'): 1})",True,2024-08-03 03:28:27,0.0193162062970832,
Réponse,2024-08-03 04:16:32, Retour à un trafic régulier sur l'ensemble de la ligne. #RERA,,2,0,1,4488,2024-08-04 11:31:02.190569,f8217e67-aa5b-4074-8064-b42c830a18cd, retour a un trafic regulier sur l ensemble de la ligne rera, retour a un trafic regulier sur l ensemble de la ligne rera,"['retour', 'trafic', 'regulier', 'ensemble', 'ligne']",retour trafic regulier ensemble ligne,"Counter({'retour': 1, 'trafic': 1, 'regulier': 1, 'ensemble': 1, 'ligne': 1})","Counter({('retour', 'trafic'): 1, ('trafic', 'regulier'): 1, ('regulier', 'ensemble'): 1, ('ensemble', 'ligne'): 1})","Counter({('retour', 'trafic', 'regulier'): 1, ('trafic', 'regulier', 'ensemble'): 1, ('regulier', 'ensemble', 'ligne'): 1})",True,2024-08-03 04:16:32,0.0668449197860962,
Normal,2024-08-02 15:28:11,Le train actuellement à Auber et en direction de Boissy-Saint-Léger stationne en raison de l'intervention des agents. #RERA,,1,1,4,4941,2024-08-04 11:31:02.608554,81378ef7-6a17-473d-8eee-5fa3f7230826,le train actuellement a auber et en direction de boissy saint leger stationne en raison de l intervention des agents rera,le train actuellement a  et en direction de  stationne en raison de l intervention des agents rera,"['stationne', 'raison', 'intervention', 'agents']",stationne raison intervention agents,"Counter({'stationne': 1, 'raison': 1, 'intervention': 1, 'agents': 1})","Counter({('stationne', 'raison'): 1, ('raison', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('stationne', 'raison', 'intervention'): 1, ('raison', 'intervention', 'agents'): 1})",True,2024-08-02 15:28:11,0.1214329083181542,agent
Réponse,2024-08-02 15:29:18,Fin de stationnement à Auber. Le train repart en direction de Boissy-Saint-Léger (intervention des agents). #RERA,,0,0,3,3740,2024-08-04 11:31:14.001820,81378ef7-6a17-473d-8eee-5fa3f7230826,fin de stationnement a auber le train repart en direction de boissy saint leger intervention des agents rera,fin de stationnement a  le train repart en direction de  intervention des agents rera,"['fin', 'stationnement', 'repart', 'intervention', 'agents']",fin stationnement repart intervention agents,"Counter({'fin': 1, 'stationnement': 1, 'repart': 1, 'intervention': 1, 'agents': 1})","Counter({('fin', 'stationnement'): 1, ('stationnement', 'repart'): 1, ('repart', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('fin', 'stationnement', 'repart'): 1, ('stationnement', 'repart', 'intervention'): 1, ('repart', 'intervention', 'agents'): 1})",True,2024-08-02 15:29:18,0.0802139037433155,
Normal,2024-08-02 14:00:19,[#NouvelArticle ] Saviez-vous que les fortes chaleurs peuvent impacter nos infrastructures ainsi que notre matériel roulant ? Découvrez tout dans le nouvel article du blog #RERA ici ,,1,3,8,4928,2024-08-04 11:31:14.327374,de1b9044-8d99-4a12-9455-c1d0d25e290c, nouvelarticle saviez vous que les fortes chaleurs peuvent impacter nos infrastructures ainsi que notre materiel roulant decouvrez tout dans le nouvel article du blog rera ici , nouvelarticle saviez vous que les fortes chaleurs peuvent impacter nos infrastructures ainsi que notre materiel roulant decouvrez tout dans le nouvel article du blog rera ici ,"['nouvelarticle', 'saviez', 'fortes', 'chaleurs', 'peuvent', 'impacter', 'infrastructures', 'ainsi', 'materiel', 'roulant', 'decouvrez', 'tout', 'nouvel', 'article', 'blog', 'ici']",nouvelarticle saviez fortes chaleurs peuvent impacter infrastructures ainsi materiel roulant decouvrez tout nouvel article blog ici,"Counter({'nouvelarticle': 1, 'saviez': 1, 'fortes': 1, 'chaleurs': 1, 'peuvent': 1, 'impacter': 1, 'infrastructures': 1, 'ainsi': 1, 'materiel': 1, 'roulant': 1, 'decouvrez': 1, 'tout': 1, 'nouvel': 1, 'article': 1, 'blog': 1, 'ici': 1})","Counter({('nouvelarticle', 'saviez'): 1, ('saviez', 'fortes'): 1, ('fortes', 'chaleurs'): 1, ('chaleurs', 'peuvent'): 1, ('peuvent', 'impacter'): 1, ('impacter', 'infrastructures'): 1, ('infrastructures', 'ainsi'): 1, ('ainsi', 'materiel'): 1, ('materiel', 'roulant'): 1, ('roulant', 'decouvrez'): 1, ('decouvrez', 'tout'): 1, ('tout', 'nouvel'): 1, ('nouvel', 'article'): 1, ('article', 'blog'): 1, ('blog', 'ici'): 1})","Counter({('nouvelarticle', 'saviez', 'fortes'): 1, ('saviez', 'fortes', 'chaleurs'): 1, ('fortes', 'chaleurs', 'peuvent'): 1, ('chaleurs', 'peuvent', 'impacter'): 1, ('peuvent', 'impacter', 'infrastructures'): 1, ('impacter', 'infrastructures', 'ainsi'): 1, ('infrastructures', 'ainsi', 'materiel'): 1, ('ainsi', 'materiel', 'roulant'): 1, ('materiel', 'roulant', 'decouvrez'): 1, ('roulant', 'decouvrez', 'tout'): 1, ('decouvrez', 'tout', 'nouvel'): 1, ('tout', 'nouvel', 'article'): 1, ('nouvel', 'article', 'blog'): 1, ('article', 'blog', 'ici'): 1})",False,2024-08-02 14:00:19,0.2435064935064935,
Normal,2024-08-02 11:52:49,Le train actuellement à Val de Fontenay et en direction de Marne-la-Vallée–Chessy stationne en raison de l'intervention des agents. #RERA,,1,0,4,4673,2024-08-04 11:31:24.999747,fc938d2c-b077-4957-874d-edbad22d8686,le train actuellement a val de fontenay et en direction de marne la vallee chessy stationne en raison de l intervention des agents rera,le train actuellement a  et en direction de  stationne en raison de l intervention des agents rera,"['stationne', 'raison', 'intervention', 'agents']",stationne raison intervention agents,"Counter({'stationne': 1, 'raison': 1, 'intervention': 1, 'agents': 1})","Counter({('stationne', 'raison'): 1, ('raison', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('stationne', 'raison', 'intervention'): 1, ('raison', 'intervention', 'agents'): 1})",True,2024-08-02 11:52:49,0.1069976460517868,agent
Réponse,2024-08-02 11:53:29,Fin de stationnement à Val de Fontenay. Le train repart en direction de Marne-la-Vallée–Chessy (intervention des agents). #RERA,,1,0,2,3915,2024-08-04 11:31:35.566165,fc938d2c-b077-4957-874d-edbad22d8686,fin de stationnement a val de fontenay le train repart en direction de marne la vallee chessy intervention des agents rera,fin de stationnement a  le train repart en direction de  intervention des agents rera,"['fin', 'stationnement', 'repart', 'intervention', 'agents']",fin stationnement repart intervention agents,"Counter({'fin': 1, 'stationnement': 1, 'repart': 1, 'intervention': 1, 'agents': 1})","Counter({('fin', 'stationnement'): 1, ('stationnement', 'repart'): 1, ('repart', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('fin', 'stationnement', 'repart'): 1, ('stationnement', 'repart', 'intervention'): 1, ('repart', 'intervention', 'agents'): 1})",True,2024-08-02 11:53:29,0.0766283524904214,
Normal,2024-08-02 10:29:56, Les trains ne marquent pas l'arrêt en gare de Nanterre – Préfecture en direction de Saint-Germain-en-Laye (bagage oublié). #RERA,,1,0,3,4803,2024-08-04 11:31:35.910051,5c47b757-3de6-4ba2-aa65-6b428999d222, les trains ne marquent pas l arret en gare de nanterre prefecture en direction de saint germain en laye bagage oublie rera, les trains ne marquent pas l arret en gare de  en direction de  bagage oublie rera,"['trains', 'marquent', 'arret', 'gare', 'bagage', 'oublie']",trains marquent arret gare bagage oublie,"Counter({'trains': 1, 'marquent': 1, 'arret': 1, 'gare': 1, 'bagage': 1, 'oublie': 1})","Counter({('trains', 'marquent'): 1, ('marquent', 'arret'): 1, ('arret', 'gare'): 1, ('gare', 'bagage'): 1, ('bagage', 'oublie'): 1})","Counter({('trains', 'marquent', 'arret'): 1, ('marquent', 'arret', 'gare'): 1, ('arret', 'gare', 'bagage'): 1, ('gare', 'bagage', 'oublie'): 1})",False,2024-08-02 10:29:56,0.0832812825317509,
Réponse,2024-08-02 10:38:40, Les trains marquent à nouveau l'arrêt en gare de Nanterre – Préfecture (bagage oublié). #RERA,,0,0,4,3338,2024-08-04 11:31:46.727167,5c47b757-3de6-4ba2-aa65-6b428999d222, les trains marquent a nouveau l arret en gare de nanterre prefecture bagage oublie rera, les trains marquent a nouveau l arret en gare de  bagage oublie rera,"['trains', 'marquent', 'nouveau', 'arret', 'gare', 'bagage', 'oublie']",trains marquent nouveau arret gare bagage oublie,"Counter({'trains': 1, 'marquent': 1, 'nouveau': 1, 'arret': 1, 'gare': 1, 'bagage': 1, 'oublie': 1})","Counter({('trains', 'marquent'): 1, ('marquent', 'nouveau'): 1, ('nouveau', 'arret'): 1, ('arret', 'gare'): 1, ('gare', 'bagage'): 1, ('bagage', 'oublie'): 1})","Counter({('trains', 'marquent', 'nouveau'): 1, ('marquent', 'nouveau', 'arret'): 1, ('nouveau', 'arret', 'gare'): 1, ('arret', 'gare', 'bagage'): 1, ('gare', 'bagage', 'oublie'): 1})",True,2024-08-02 10:38:40,0.1198322348711803,
Normal,2024-08-02 10:25:07, Le trafic est perturbé de La Défense vers Cergy-Le Haut • Poissy et Saint-Germain-en-Laye en raison d'un bagage oublié sur le quai à Nanterre – Préfecture. #RERA,,2,1,4,6059,2024-08-04 11:31:47.100731,63938ab3-24f2-45cd-aba3-f984acae4709, le trafic est perturbe de la defense vers cergy le haut poissy et saint germain en laye en raison d un bagage oublie sur le quai a nanterre prefecture rera, le trafic est perturbe de  vers   et  en raison d un bagage oublie sur le quai a  rera,"['trafic', 'perturbe', 'raison', 'bagage', 'oublie', 'quai']",trafic perturbe raison bagage oublie quai,"Counter({'trafic': 1, 'perturbe': 1, 'raison': 1, 'bagage': 1, 'oublie': 1, 'quai': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'raison'): 1, ('raison', 'bagage'): 1, ('bagage', 'oublie'): 1, ('oublie', 'quai'): 1})","Counter({('trafic', 'perturbe', 'raison'): 1, ('perturbe', 'raison', 'bagage'): 1, ('raison', 'bagage', 'oublie'): 1, ('bagage', 'oublie', 'quai'): 1})",True,2024-08-02 10:25:07,0.1155306156131374,bagage
Réponse,2024-08-02 10:34:29, Le trafic est perturbé de Vincennes vers Cergy-Le Haut • Poissy et Saint-Germain-en-Laye en raison d'un bagage oublié sur le quai à Nanterre – Préfecture. #RERA,,2,0,2,4437,2024-08-04 11:31:58.140343,63938ab3-24f2-45cd-aba3-f984acae4709, le trafic est perturbe de vincennes vers cergy le haut poissy et saint germain en laye en raison d un bagage oublie sur le quai a nanterre prefecture rera, le trafic est perturbe de  vers   et  en raison d un bagage oublie sur le quai a  rera,"['trafic', 'perturbe', 'raison', 'bagage', 'oublie', 'quai']",trafic perturbe raison bagage oublie quai,"Counter({'trafic': 1, 'perturbe': 1, 'raison': 1, 'bagage': 1, 'oublie': 1, 'quai': 1})","Counter({('trafic', 'perturbe'): 1, ('perturbe', 'raison'): 1, ('raison', 'bagage'): 1, ('bagage', 'oublie'): 1, ('oublie', 'quai'): 1})","Counter({('trafic', 'perturbe', 'raison'): 1, ('perturbe', 'raison', 'bagage'): 1, ('raison', 'bagage', 'oublie'): 1, ('bagage', 'oublie', 'quai'): 1})",True,2024-08-02 10:34:29,0.0901510029299076,
Réponse,2024-08-02 10:43:51, Le trafic est rétabli de Vincennes vers Cergy-Le Haut • Poissy et Saint-Germain-en-Laye (bagage oublié). #RERA,,0,0,2,3572,2024-08-04 11:31:58.322854,63938ab3-24f2-45cd-aba3-f984acae4709, le trafic est retabli de vincennes vers cergy le haut poissy et saint germain en laye bagage oublie rera, le trafic est retabli de  vers   et  bagage oublie rera,"['trafic', 'retabli', 'bagage', 'oublie']",trafic retabli bagage oublie,"Counter({'trafic': 1, 'retabli': 1, 'bagage': 1, 'oublie': 1})","Counter({('trafic', 'retabli'): 1, ('retabli', 'bagage'): 1, ('bagage', 'oublie'): 1})","Counter({('trafic', 'retabli', 'bagage'): 1, ('retabli', 'bagage', 'oublie'): 1})",True,2024-08-02 10:43:51,0.0559910414333706,
Normal,2024-08-02 10:07:20,Le train actuellement à Nanterre – Préfecture et en direction de Poissy stationne en raison d'un incident nécessitant l'intervention des agents. #RERA,,1,0,2,3970,2024-08-04 11:31:58.654920,27331e63-b18e-44ca-bb7d-411908179932,le train actuellement a nanterre prefecture et en direction de poissy stationne en raison d un incident necessitant l intervention des agents rera,le train actuellement a  et en direction de  stationne en raison d un incident necessitant l intervention des agents rera,"['stationne', 'raison', 'incident', 'necessitant', 'intervention', 'agents']",stationne raison incident necessitant intervention agents,"Counter({'stationne': 1, 'raison': 1, 'incident': 1, 'necessitant': 1, 'intervention': 1, 'agents': 1})","Counter({('stationne', 'raison'): 1, ('raison', 'incident'): 1, ('incident', 'necessitant'): 1, ('necessitant', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('stationne', 'raison', 'incident'): 1, ('raison', 'incident', 'necessitant'): 1, ('incident', 'necessitant', 'intervention'): 1, ('necessitant', 'intervention', 'agents'): 1})",True,2024-08-02 10:07:20,0.0755667506297229,agent
Réponse,2024-08-02 10:08:25,Fin de stationnement à Nanterre – Préfecture. Le train repart en direction de Poissy (intervention des agents). #RERA,,0,0,1,3148,2024-08-04 11:32:09.748457,27331e63-b18e-44ca-bb7d-411908179932,fin de stationnement a nanterre prefecture le train repart en direction de poissy intervention des agents rera,fin de stationnement a  le train repart en direction de  intervention des agents rera,"['fin', 'stationnement', 'repart', 'intervention', 'agents']",fin stationnement repart intervention agents,"Counter({'fin': 1, 'stationnement': 1, 'repart': 1, 'intervention': 1, 'agents': 1})","Counter({('fin', 'stationnement'): 1, ('stationnement', 'repart'): 1, ('repart', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('fin', 'stationnement', 'repart'): 1, ('stationnement', 'repart', 'intervention'): 1, ('repart', 'intervention', 'agents'): 1})",True,2024-08-02 10:08:25,0.0317662007623888,
Normal,2024-08-02 09:39:25,Le train actuellement à La Varenne–Chennevières et en direction de Boissy-Saint-Léger stationne en raison d'un incident nécessitant l'intervention des agents. #RERA,,2,0,4,4302,2024-08-04 11:32:10.088042,c799902e-d3c2-4bba-9032-a82201f58fab,le train actuellement a la varenne chennevieres et en direction de boissy saint leger stationne en raison d un incident necessitant l intervention des agents rera,le train actuellement a  et en direction de  stationne en raison d un incident necessitant l intervention des agents rera,"['stationne', 'raison', 'incident', 'necessitant', 'intervention', 'agents']",stationne raison incident necessitant intervention agents,"Counter({'stationne': 1, 'raison': 1, 'incident': 1, 'necessitant': 1, 'intervention': 1, 'agents': 1})","Counter({('stationne', 'raison'): 1, ('raison', 'incident'): 1, ('incident', 'necessitant'): 1, ('necessitant', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('stationne', 'raison', 'incident'): 1, ('raison', 'incident', 'necessitant'): 1, ('incident', 'necessitant', 'intervention'): 1, ('necessitant', 'intervention', 'agents'): 1})",True,2024-08-02 09:39:25,0.1394700139470014,agent
Réponse,2024-08-02 09:40:27,Fin de stationnement à La Varenne–Chennevières. Le train repart en direction de Boissy-Saint-Léger (intervention des agents). #RERA,,0,1,3,3177,2024-08-04 11:32:21.001717,c799902e-d3c2-4bba-9032-a82201f58fab,fin de stationnement a la varenne chennevieres le train repart en direction de boissy saint leger intervention des agents rera,fin de stationnement a  le train repart en direction de  intervention des agents rera,"['fin', 'stationnement', 'repart', 'intervention', 'agents']",fin stationnement repart intervention agents,"Counter({'fin': 1, 'stationnement': 1, 'repart': 1, 'intervention': 1, 'agents': 1})","Counter({('fin', 'stationnement'): 1, ('stationnement', 'repart'): 1, ('repart', 'intervention'): 1, ('intervention', 'agents'): 1})","Counter({('fin', 'stationnement', 'repart'): 1, ('stationnement', 'repart', 'intervention'): 1, ('repart', 'intervention', 'agents'): 1})",True,2024-08-02 09:40:27,0.1259049417689644,
